Cut off (Oz/ton),Mineral (Mton),Au (Oz/ton),REM
0.000,300,0.0294,0.63
0.002,280,0.0306,0.75
0.003,260,0.0318,0.88
0.005,250,0.0330,0.96
0.006,230,0.0342,1.13
0.008,220,0.0354,1.23
0.010,210,0.0366,1.33
0.011,200,0.0378,1.45
0.013,190,0.0390,1.58
0.014,180,0.0402,1.72
0.016,170,0.0408,1.88
0.018,160,0.0420,2.06
0.019,160,0.0426,2.06
0.021,150,0.0438,2.27
0.023,150,0.0444,2.27
0.024,140,0.0456,2.50
0.026,140,0.0462,2.50
0.027,130,0.0480,2.77
0.029,130,0.0486,2.77
0.031,120,0.0498,3.08
0.032,120,0.0510,3.08
0.034,110,0.0522,3.45
0.035,110,0.0534,3.45
0.037,100,0.0546,3.90
0.039,100,0.0552,3.90
0.040,90,0.0564,4.44
0.042,90,0.0576,4.44
0.043,80,0.0588,5.13
0.045,80,0.0600,5.13
0.047,70,0.0612,6.00
0.048,70,0.0624,6.00
